2817934937421922877,SB_P2010 16,2.03,2.03
2832870002651384709,SB_P2103 20,5.36,5.36
2883536662118614951,SB_P2007 18.75,4.55,4.55
2885789355604726958,SB_C2010 14,1.1,1.1
2896481107728450847,SB_P2107 11.5,0.17,0.17
2905557278805751922,SB_P2101 21,6.3,6.3
2940802940043425674,SB_P2105 16.5,2.49,2.49
3006410357449169295,SB_C2105 9.5,5.03,5.03
3007728575300047721,SB_P2105 18.5,4.23,4.23
3048109871573649271,SB_C2105 10,4.54,4.54
3085305787347597098,SB_P2103 13.75,0.6,0.6
3105766661015723927,SB_C2107 19,0.17,0.17
3118958497703305716,SB_C2103 12.25,2.73,2.73
3181373815351968219,SB_C2103 14.75,1.1,1.1
3187388778659295262,SB_C2010 12.5,2.11,2.11
3303723116683902634,SB_C2105 10.75,3.83,3.83
3326358848266352308,SB_P2010 10.25,0.03,0.03
3410127089897058885,SB_C2105 16.5,0.49,0.49
3418810781755376551,SB_C2007 13,1.5,1.5
3439844404369156067,SB_C2101 18,0.24,0.24
3472211635557230343,SB_C2010 19.5,0.09,0.09
3483995063755185212,SB_P2110 14.25,1.14,1.14
3499612067289644764,SB_C2010 16,0.41,0.41
3532401598457854811,SB_P2101 15,1.13,1.13
3603993743053833687,SB_P2105 8,0.01,0.01
3606838801642255150,SB_C2110 11.25,3.13,3.13
3630692585701154954,SB_C2201 13.5,1.73,1.73
3645277012657879674,SB_C2105 14.25,1.22,1.22
3670706686016561629,SB_C2105 18,0.27,0.27
3680313952604495664,SB_P2103 9,0.01,0.01
3716165162481383131,SB_P2010 12.5,0.23,0.23
3721205574921470344,SB_P2101 11.5,0.08,0.08
3744950591068174733,SB_P2010 13.25,0.42,0.42
3788660159974486742,SB_P2201 18.5,4.35,4.35
3807272041165116697,SB_P2010 8,0.01,0.01
3819535466574616453,SB_C2007 15.5,0.34,0.34
160416046133230347,OVS2_C2011 27,4.925,4.925
62652696741986402,KC_P2103 220,99.48,99.48
181371952858747400,OVS2_P2010 23,0.4,0.4
189795028248443784,OVS2_C2007 27,8,8
3847948048794598725,SB_C2007 12,2.34,2.34
192022996327377697,OVS2_P2006 24,0,0
3867979092244790846,SB_C2103 14.5,1.21,1.21
202392995140946222,OVS2_C2006 12,0,0
92266661836342726,KC_P2009 135,23.1,23.1
206991237439183615,OVS2_C2008 27,6.05,6.05
3878981005091410135,SB_P2007 16.25,2.21,2.21
208667029642925350,OVS2_P2010 17,0.025,0.025
101123409793368463,KC_P2105 132.5,20.22,20.22
3894281795791013002,SB_P2103 15,1.21,1.21
102493742341019450,KC_C2107 210,2.8,2.8
275662674355614552,OVS2_P2010 1,0,0
294359705196402413,OVS2_C2012 28,4.575,4.575
134390973566252549,KC_C2103 122.5,12.63,12.63
3901800199677238864,SB_P2101 15.25,1.28,1.28
313171403323737112,OVS2_C2005 30,8.75,8.75
222189692343186318,KC_P2109 97.5,2.06,2.06
3918360017770783164,SB_P2101 15.5,1.44,1.44
320933847089517343,OVS2_P2008 13.5,0,0
230386025531020148,KC_C2007 157.5,1.11,1.11
3972971827836113258,SB_C2010 10.25,4.16,4.16
231738263328447357,KC_C2007 115,7.98,7.98
349836511744048519,OVS2_C2009 22,0,0
266118776697864372,KC_C2109 162.5,7,7
268046949361840162,KC_C2103 195,2.35,2.35
355973359856002118,OVS2_P2011 24,0.9,0.9
396692975092060203,OVS2_C2005 22,0,0
334245027060336825,KC_C2109 75,50.76,50.76
420195471875187413,OVS2_C2012 26,5.725,5.725
344193275174327853,KC_P2109 187.5,66.4,66.4
444616916421006074,OVS2_C2006 7.5,0,0
448212995588058147,OVS2_C2010 27,5.525,5.525
351387098922564187,KC_C2012 160,3.65,3.65
467435548531908702,OVS2_P2010 9.5,0,0
377646492262750298,KC_C2007 122.5,5.41,5.41
526262409732275650,OVS2_P2006 17,0,0
4107092089704977597,SB_C2007 10,4.27,4.27
413996770914164319,KC_C2103 137.5,8.31,8.31
582789144215175323,OVS2_P2005 28,0.025,0.025
4158837136457723130,SB_C2010 8,6.38,6.38
588093618401776614,OVS2_C2010 18,0,0
448001639396947102,KC_C2009 165,1.84,1.84
453126531000538205,KC_P2109 150,33.33,33.33
596672748569602401,OVS2_P2009 34,4.225,4.225
699681497784786592,OVS2_P2008 18,0,0
461248238001643335,KC_C2012 95,26.28,26.28
4167102764848239466,SB_C2103 12.5,2.53,2.53
463661370177192352,KC_C2105 97.5,28.08,28.08
702592781619463062,OVS2_P2011 19,0.125,0.125
4170216418247160263,SB_C2010 17,0.25,0.25
465176824534533814,KC_C2103 100,24.98,24.98
758680137411723933,OVS2_C2005 14.5,24.25,24.25
764737238680398914,OVS2_P2006 29,0.025,0.025
481635113423217200,KC_P2012 200,82.23,82.23
4178337338256011639,SB_P2101 10.25,0.03,0.03
822499932839347403,OVS2_P2005 10,0,0
485969539212906009,KC_P2112 102.5,3.01,3.01
4181354365849907274,SB_C2107 14.25,1.08,1.08
493773674673248742,KC_C2103 187.5,2.71,2.71
826029120142891700,OVS2_C2006 23,0,0
4181421160463450603,SB_C2110 20,0.14,0.14
510476239715957334,KC_C2112 210,3.4,3.4
883548055904982810,OVS2_C2007 29,6.2,6.2
895940689981435187,OVS2_C2010 12.5,0,0
4191926277380345333,SB_P2007 19.5,5.28,5.28
518038176110603104,KC_P2012 130,18.99,18.99
936092093901647978,OVS2_C2008 10.5,0,0
951533933170342068,OVS2_P2008 14,0,0
4224941952519060087,SB_P2103 10.75,0.06,0.06
1049080248497452417,OVS2_C2006 13.5,23.4,23.4
4225008831440602363,SB_C2107 13,1.77,1.77
541848904229569187,KC_C2112 160,7.85,7.85
1064425053849749202,OVS2_P2012 30,3.55,3.55
4228038042594237157,SB_C2201 18,0.36,0.36
544166236245909466,KC_C2007 110,10.32,10.32
1089482246414510207,OVS2_C2009 25,6.675,6.675
4245676838623662404,SB_C2010 15.25,0.59,0.59
1095391059482215102,OVS2_P2011 34,5.95,5.95
4291787996211755743,SB_C2101 13.25,1.9,1.9
560274006793213462,KC_P2112 142.5,26.27,26.27
1106637469336765577,OVS2_C2010 1,0,0
4297265590457358047,SB_C2101 10.25,4.56,4.56
562414167938814872,KC_C2012 147.5,5.03,5.03
1124051087541698668,OVS2_P2006 15,0,0
4329586801260734580,SB_P2105 15.25,1.57,1.57
574182216267751929,KC_P2107 65,0.03,0.03
1130300604814133310,OVS2_C2009 44,0.15,0.15
4401844922916593394,SB_C2107 12.75,1.94,1.94
1138073629792025125,OVS2_C2011 20,10.2,10.2
4449204014356787627,SB_P2007 18.5,4.31,4.31
1202227733430386177,OVS2_C2011 30,3.35,3.35
4459230840457640708,SB_C2107 16.5,0.43,0.43
634677816362943994,KC_C2105 175,4.26,4.26
1217866935926979772,OVS2_C2008 19,0,0
4495881265779249338,SB_C2107 21,0.09,0.09
1242998902017522292,OVS2_C2010 32,2.9,2.9
640785984907011277,KC_P2112 125,13.93,13.93
1273209455615855985,OVS2_C2006 42,0.425,0.425
650187794372770208,KC_P2012 80,0.25,0.25
4539846381432866563,SB_C2010 12.75,1.91,1.91
1299897432467536780,OVS2_C2005 55,0,0
4539987609186246799,SB_P2010 15.75,1.83,1.83
672444154448843815,KC_C2109 110,21.96,21.96
