Exchange,Product Name,Product Symbol,Alternate Symbol,Product Type,Asset Class,Sub-Asset Class,Currency,Market Data Channel
Euronext_DEV,WOLTERS-KLUWER,WKL,,Option Strategy,,,EUR,ALL
CME,Short-Dated New Crop Soybean Meal Options,OMD,,Option,Agriculture,Grain and Oilseed,USD,Chicago Board of Trade
CME,,E1C|EW,,Option Strategy,,,USD,Chicago Mercantile Exchange
ICE,NG Basis Futures Spr,FTZ S,Basis Spread,Spread,,,USD,IFUS Energy Div Gas
ICE,NG Basis Futures Spr,CGB S,Basis Spread,Spread,,,USD,IFUS Energy Div Gas
ICE,NG Basis Futures Spr,TRZ S,Basis Spread,Spread,,,USD,IFUS Energy Div Gas
ICE,NG Basis Futures Spr,STA S,Basis Spread,Spread,,,USD,IFUS Energy Div Gas
ICE,NG Basis Futures Spr,TPB S,Basis Spread,Spread,,,USD,IFUS Energy Div Gas
Eurex,2ND FRIDAY BAYER,BAW2,,Spread,Equities,Single stock,,ALL
Eurex,BKW AG,BKW,,Spread,Equities,Single stock,,ALL
CME,,ZB5|OZB|ZB1,,Option Strategy,,,USD,Chicago Board of Trade
CME,E-Mini Nasdaq 100 Options Strategy,QN2|QN1|QNE,,Option Strategy,Equities,Index,USD,Chicago Mercantile Exchange
CME,Crude Oil Spr,CL,,Spread,Energy,Crude Oil,USD,New York Mercantile Exchange
Euronext,,gAGN,,Common Stock,,,EUR,ALL
Euronext,DNB - Stock Future,aDN6,,Future,,,NOK,ALL
Euronext,Drax Group - Stock Future,aDX6,,Future,,,GBX,ALL
Euronext_DEV,Rallye - Stock Option,RJ1,,Option,,,EUR,ALL
Euronext_DEV,,NE6,,Common Stock,,,EUR,ALL
Euronext_DEV,Michelin European,ML2,,Option,,,EUR,ALL
Euronext_DEV,,JD6,,Common Stock,,,EUR,ALL
ICE,Gasoline Futures Spr,ZMN S|SMF S,SGMog95,Spread,,,USD,IFEU Energy Div Oil
ICE,Gasoil Crack Futures (balmo),19A S,LS 1L/BRN 1L MT,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoil Crack Futures (balmo),199 S,LS 1L/BRN 1L MT,Future,,,USD,IFEU Energy Div Oil
ICE,Gasoline Diff Futures (balmo),1FK S,RBOB1L/EUBob,Future,,,USD,IFEU Energy Div Oil
Euronext_DEV,,CO,,Common Stock,,,EUR,ALL
Euronext_DEV,,WHV,,Common Stock,,,EUR,ALL
Eurex,ANDRITZ AG,ANDR,,Option Strategy,Equities,Single stock,EUR,ALL
ICE,Gasoil Crack Futures (balmo),19N S,LS 1L/BRN 1L MT,Future,,,USD,IFEU Energy Div Oil
BVMF,,BGIU18C014700_E,,Option,,,BRL,ALL
